n,p,dataset,max_iters,val
50,1,4,2,0.000626553
50,1,4,2,0.000627815
50,1,4,2,0.000681845
50,1,5,2,1.62E-05
50,1,5,2,2.10E-05
50,1,5,2,4.22E-05
50,1,5,2,5.35E-05
50,1,5,2,6.39E-05
50,1,5,2,0.000111787
50,1,5,2,0.000131508
50,1,5,2,0.000227857
50,1,5,2,0.000275279
50,1,5,2,0.000863904
50,1,6,2,7.65E-06
50,1,6,2,4.59E-05
50,1,6,2,5.28E-05
50,1,6,2,5.70E-05
50,1,6,2,6.94E-05
50,1,6,2,7.33E-05
50,1,6,2,7.96E-05
50,1,6,2,9.13E-05
50,1,6,2,0.000100107
50,1,6,2,0.000265565
50,1,7,2,5.70E-06
50,1,7,2,2.10E-05
50,1,7,2,4.29E-05
50,1,7,2,8.46E-05
50,1,7,2,0.00010082
50,1,7,2,0.000214481
50,1,7,2,0.000220565
50,1,7,2,0.000226985
50,1,7,2,0.000231874
50,1,7,2,0.000356869
50,1,8,2,2.23E-05
50,1,8,2,3.80E-05
50,1,8,2,4.21E-05
50,1,8,2,4.24E-05
50,1,8,2,4.82E-05
50,1,8,2,7.87E-05
50,1,8,2,0.000260552
50,1,8,2,0.000261315
50,1,8,2,0.000266526
50,1,8,2,0.00037644
50,1,9,2,3.57E-06
50,1,9,2,4.79E-06
50,1,9,2,1.11E-05
50,1,9,2,1.94E-05
50,1,9,2,5.22E-05
50,1,9,2,5.93E-05
50,1,9,2,7.06E-05
50,1,9,2,0.000236625
50,1,9,2,0.000414139
50,1,9,2,0.000469048
50,1,10,2,7.69E-06
50,1,10,2,6.37E-05
50,1,10,2,7.91E-05
50,1,10,2,0.00011661
50,1,10,2,0.000190839
50,1,10,2,0.00020835
50,1,10,2,0.000286855
50,1,10,2,0.00036474
50,1,10,2,0.000431615
50,1,10,2,0.000503605
50,2,1,2,0.005163716
50,2,1,2,0.005607452
50,2,1,2,0.005736257
50,2,1,2,0.006121539
50,2,1,2,0.012885319
50,2,1,2,0.013753301
50,2,1,2,0.031876224
50,2,1,2,0.078529892
50,2,1,2,0.083212795
50,2,1,2,0.251747276
50,2,2,2,0.000745356
50,2,2,2,0.0014344
50,2,2,2,0.002874108
50,2,2,2,0.003191407
50,2,2,2,0.004950994
50,2,2,2,0.007857749
50,2,2,2,0.008523215
50,2,2,2,0.00973213
