n,p,r,val
200,1,1,6.73E-06
200,1,1,7.38E-06
200,5,1,0.005449499
200,5,1,0.007093017
200,5,1,0.007429246
200,5,1,0.009624056
200,5,1,0.009670615
200,5,1,0.009787361
200,5,1,0.010419376
200,5,1,0.010517045
200,5,1,0.010752172
200,5,1,0.010785499
200,5,1,0.01080474
200,5,1,0.010820084
200,5,1,0.011035267
200,5,1,0.01148936
200,5,1,0.011557456
200,5,1,0.011868755
200,5,1,0.011917366
200,5,1,0.012017143
200,5,1,0.012026234
200,5,1,0.012480694
200,5,1,0.01257701
200,5,1,0.01260394
200,5,1,0.012682715
200,5,1,0.012827655
200,5,1,0.013225616
200,5,1,0.013875563
200,5,1,0.013892685
200,5,1,0.014615298
200,5,1,0.014858515
200,5,1,0.015094841
200,10,1,0.047270642
200,10,1,0.048196423
200,10,1,0.049851873
200,10,1,0.054897406
200,10,1,0.055633193
200,10,1,0.055845777
200,10,1,0.058452279
200,10,1,0.058540535
200,10,1,0.059451823
200,10,1,0.060979303
200,10,1,0.061081027
200,10,1,0.061416502
200,10,1,0.061553727
200,10,1,0.061953582
200,10,1,0.062191698
200,10,1,0.06294657
200,10,1,0.063121665
200,10,1,0.063163491
200,10,1,0.063675105
200,10,1,0.063855812
200,10,1,0.065168122
200,10,1,0.065198362
200,10,1,0.065750445
200,10,1,0.065807904
200,10,1,0.066750978
200,10,1,0.069041562
200,10,1,0.069165655
200,10,1,0.070931037
200,10,1,0.075916111
200,10,1,0.076841627
200,20,1,0.178036203
200,20,1,0.184059561
200,20,1,0.18872957
200,20,1,0.192504442
200,20,1,0.19768679
200,20,1,0.198793656
200,20,1,0.20209165
200,20,1,0.205767757
200,20,1,0.212402554
200,20,1,0.212764096
200,20,1,0.213099527
200,20,1,0.213431956
200,20,1,0.21568858
200,20,1,0.220408381
200,20,1,0.221041078
200,20,1,0.226216732
200,20,1,0.230044903
200,20,1,0.230749761
200,20,1,0.234130392
200,20,1,0.234291888
200,20,1,0.237798916
200,20,1,0.238383945
200,20,1,0.240285416
200,20,1,0.242593419
200,20,1,0.244609932
200,20,1,0.246148508
200,20,1,0.247376117
200,20,1,0.250303571
200,20,1,0.260733178
200,20,1,0.35810599
200,40,1,0.61367168
200,40,1,0.674262314
200,40,1,0.682848199
200,40,1,0.692234312
200,40,1,0.706166593
200,40,1,0.73031633
200,40,1,0.750143703
200,40,1,0.75563373
200,40,1,0.758139557
200,40,1,0.759578101
200,40,1,0.765280146
200,40,1,0.765603005
200,40,1,0.819455997
200,40,1,0.821003133
200,40,1,0.827852251
200,40,1,0.834983244
200,40,1,0.839558711
200,40,1,0.879817024
200,40,1,0.882171367
200,40,1,0.883531796
200,40,1,0.891200831
200,40,1,0.898933787
200,40,1,0.96726664
200,40,1,0.978734714
200,40,1,0.988189986
200,40,1,1.004287263
200,40,1,1.025109884
200,40,1,1.050041711
200,40,1,1.056002724
200,40,1,1.197410298
200,80,1,2.104556264
200,80,1,2.138804864
200,80,1,2.363447753
200,80,1,2.372148877
200,80,1,2.407951086
200,80,1,2.437942637
200,80,1,2.455453873
200,80,1,2.464850674
200,80,1,2.50161112
200,80,1,2.580626601
200,80,1,2.61590293
200,80,1,2.639435922
200,80,1,2.660367988
200,80,1,2.66399206
200,80,1,2.685824038
200,80,1,2.76732011
200,80,1,2.792767583
200,80,1,2.853348779
200,80,1,2.881979229
200,80,1,2.930176844
200,80,1,2.953041757
200,80,1,2.972365722
200,80,1,2.999246221
200,80,1,3.015789761
200,80,1,3.118201495
200,80,1,3.118203
200,80,1,3.203750025
200,80,1,3.234466713
200,80,1,3.240742329
200,80,1,3.805706674
200,150,1,6.391879877
200,150,1,6.396119022
200,150,1,6.550248408
200,150,1,6.561749764
200,150,1,6.585962245
200,150,1,6.663496008
200,150,1,6.676670356
200,150,1,6.768247287
200,150,1,6.79657576
200,150,1,6.850177463
200,150,1,6.881241506
200,150,1,6.919251166
200,150,1,7.025240996
200,150,1,7.058306627
200,150,1,7.06565522
200,150,1,7.313288749
200,150,1,7.546563379
200,150,1,7.553021928
200,150,1,7.554012315
200,150,1,7.578627628
200,150,1,7.587100621
200,150,1,7.63225287
200,150,1,7.662526301
200,150,1,7.670730799
200,150,1,7.741268579
200,150,1,7.750914812
200,150,1,7.82695998
200,150,1,7.876974174
200,150,1,8.04480981
200,150,1,8.293954858
400,1,1,8.15E-09
400,1,1,1.02E-08
400,1,1,1.69E-08
400,1,1,2.67E-08
400,1,1,3.89E-08
400,1,1,4.90E-08
400,1,1,6.02E-08
400,1,1,7.54E-08
400,1,1,9.09E-08
400,1,1,9.38E-08
400,1,1,1.16E-07
400,1,1,1.46E-07
400,1,1,1.55E-07
400,1,1,1.57E-07
400,1,1,1.58E-07
400,1,1,1.75E-07
400,1,1,1.80E-07
400,1,1,1.97E-07
400,1,1,2.33E-07
400,1,1,2.47E-07
400,1,1,2.60E-07
400,1,1,3.47E-07
400,1,1,3.49E-07
400,1,1,3.73E-07
400,1,1,4.66E-07
400,1,1,5.62E-07
400,1,1,6.04E-07
400,1,1,6.60E-07
400,1,1,7.06E-07
400,1,1,9.39E-07
400,5,1,0.001930273
400,5,1,0.002690449
400,5,1,0.002925621
400,5,1,0.003047456
400,5,1,0.00314255
400,5,1,0.003156327
400,5,1,0.003316594
400,5,1,0.003357868
400,5,1,0.003375813
400,5,1,0.003692359
400,5,1,0.003875321
400,5,1,0.003953756
400,5,1,0.004010864
400,5,1,0.00411667
400,5,1,0.004161005
400,5,1,0.004247831
400,5,1,0.004249043
400,5,1,0.004318142
400,5,1,0.004410271
400,5,1,0.004503958
400,5,1,0.004504107
400,5,1,0.004811179
400,5,1,0.004913906
400,5,1,0.004983024
400,5,1,0.005124938
400,5,1,0.005126924
400,5,1,0.005813022
400,5,1,0.00586498
400,5,1,0.006538722
400,5,1,0.006601798
400,10,1,0.017821002
400,10,1,0.02024586
400,10,1,0.020393134
400,10,1,0.020765825
400,10,1,0.022359019
400,10,1,0.023577993
400,10,1,0.024013624
400,10,1,0.024257999
400,10,1,0.024902044
400,10,1,0.024919516
400,10,1,0.025082838
400,10,1,0.025280103
400,10,1,0.025604651
400,10,1,0.026335026
400,10,1,0.026551957
400,10,1,0.026610252
400,10,1,0.027016726
400,10,1,0.027091798
400,10,1,0.027482862
400,10,1,0.027615355
400,10,1,0.02767
400,10,1,0.028162918
400,10,1,0.028386274
400,10,1,0.028403662
400,10,1,0.028795225
400,10,1,0.029256641
400,10,1,0.029383446
400,10,1,0.0301811
400,10,1,0.030762812
400,10,1,0.033350334
400,20,1,0.07893002
400,20,1,0.087224777
400,20,1,0.087946295
400,20,1,0.088049699
400,20,1,0.089638335
400,20,1,0.090493918
400,20,1,0.092784854
400,20,1,0.093375463
400,20,1,0.093510961
400,20,1,0.094843947
400,20,1,0.094958153
400,20,1,0.09522848
400,20,1,0.09574181
400,20,1,0.09813041
400,20,1,0.099621413
400,20,1,0.100275724
400,20,1,0.100663953
400,20,1,0.101428838
400,20,1,0.102644137
400,20,1,0.103717713
400,20,1,0.105132711
400,20,1,0.106127156
400,20,1,0.106267011
400,20,1,0.106842646
400,20,1,0.107057878
400,20,1,0.107321987
400,20,1,0.1073676
400,20,1,0.108215811
400,20,1,0.108764812
400,20,1,0.115189444
400,40,1,0.290962596
400,40,1,0.30578484
400,40,1,0.324457174
400,40,1,0.330269316
400,40,1,0.334153415
400,40,1,0.336037591
400,40,1,0.340820565
400,40,1,0.344002924
400,40,1,0.344050999
400,40,1,0.344936442
400,40,1,0.348259396
400,40,1,0.353402861
400,40,1,0.354896483
400,40,1,0.354935062
400,40,1,0.356230388
400,40,1,0.36463843
400,40,1,0.36686083
400,40,1,0.37017238
400,40,1,0.370992022
400,40,1,0.372716226
400,40,1,0.376218777
400,40,1,0.378157743
400,40,1,0.391144272
400,40,1,0.39629096
400,40,1,0.411419629
400,40,1,0.425361877
400,40,1,0.426050477
400,40,1,0.443544711
400,40,1,0.452869595
400,40,1,0.593111719
400,80,1,0.961717757
400,80,1,1.025654435
400,80,1,1.037631177
400,80,1,1.059742298
400,80,1,1.077042013
400,80,1,1.090015825
400,80,1,1.10889376
400,80,1,1.126008575
400,80,1,1.156692485
400,80,1,1.169821332
400,80,1,1.173226506
400,80,1,1.191135568
400,80,1,1.192744885
400,80,1,1.229422608
400,80,1,1.291236192
400,80,1,1.297489323
400,80,1,1.301201688
400,80,1,1.311533565
400,80,1,1.315636415
400,80,1,1.316971022
400,80,1,1.346921464
400,80,1,1.353166702
400,80,1,1.370271869
400,80,1,1.384996938
400,80,1,1.399397404
400,80,1,1.419903367
400,80,1,1.494160107
400,80,1,1.548231448
400,80,1,1.638928627
400,80,1,1.726858317
400,150,1,2.998271255
400,150,1,3.095129222
400,150,1,3.113008688
400,150,1,3.18665078
400,150,1,3.190955693
400,150,1,3.194546338
400,150,1,3.310214434
