"","n","p","r","val"
"61",200,10,1,0.0503644700242911
"62",200,10,1,0.050775037154291
"63",200,10,1,0.0523958136651264
"64",200,10,1,0.0551066422458645
"65",200,10,1,0.0555152147993427
"66",200,10,1,0.0559091139886116
"67",200,10,1,0.0569016307348533
"68",200,10,1,0.056905252963714
"69",200,10,1,0.0571630454110229
"70",200,10,1,0.0579569465581738
"71",200,10,1,0.0587672977259595
"72",200,10,1,0.0596159646199993
"73",200,10,1,0.0613096665951885
"74",200,10,1,0.0614823146219906
"75",200,10,1,0.0617527578006526
"76",200,10,1,0.0656722035547109
"77",200,10,1,0.0657144179189256
"78",200,10,1,0.0658000670056506
"79",200,10,1,0.065954875195341
"80",200,10,1,0.0660238509958901
"81",200,10,1,0.0666997002894867
"82",200,10,1,0.0685763729704158
"83",200,10,1,0.070926361522706
"84",200,10,1,0.0712859450115245
"85",200,10,1,0.0717479564903454
"86",200,10,1,0.0764888471387581
"87",200,10,1,0.0781319722672597
"88",200,10,1,0.0808518702949829
"89",200,10,1,0.081492224918733
"90",200,10,1,0.0826912002185734
"91",400,10,1,0.022299911688649
"92",400,10,1,0.023272686948709
"93",400,10,1,0.0233891396873332
"94",400,10,1,0.023652055963997
"95",400,10,1,0.0237246911966591
"96",400,10,1,0.0237958207412684
"97",400,10,1,0.0242330127377652
"98",400,10,1,0.0242665951526732
"99",400,10,1,0.0244115904552243
"100",400,10,1,0.0247180420222261
"101",400,10,1,0.0254942139409209
"102",400,10,1,0.025681595938871
"103",400,10,1,0.0256936197900458
"104",400,10,1,0.0258197328756226
"105",400,10,1,0.0260649423149657
"106",400,10,1,0.026490199681667
"107",400,10,1,0.0265170454149408
"108",400,10,1,0.0265435620676556
"109",400,10,1,0.0267613537958025
"110",400,10,1,0.0277028582434833
"111",400,10,1,0.0283178409042972
"112",400,10,1,0.0283649274870972
"113",400,10,1,0.0283784316873858
"114",400,10,1,0.0286777803155563
"115",400,10,1,0.0292694494483484
"116",400,10,1,0.0296281888989054
"117",400,10,1,0.0303419238183377
"118",400,10,1,0.0309960155502596
"119",400,10,1,0.0310607183777822
"120",400,10,1,0.0328778659033537
"121",1000,10,1,0.0052921503237749
"122",1000,10,1,0.00592970262100804
"123",1000,10,1,0.00643708563914267
"124",1000,10,1,0.00649507398837379
"125",1000,10,1,0.00679629384751707
"126",1000,10,1,0.00724367127423825
"127",1000,10,1,0.00734915715190972
"128",1000,10,1,0.00736820961480482
"129",1000,10,1,0.00739899411809366
"130",1000,10,1,0.00762783420898634
"131",1000,10,1,0.0076327965120561
"132",1000,10,1,0.00773903900207314
"133",1000,10,1,0.00785613699327289
"134",1000,10,1,0.00789427422461794
"135",1000,10,1,0.00790501721337825
"136",1000,10,1,0.00792556298998602
"137",1000,10,1,0.00797536138741936
"138",1000,10,1,0.00801280610432247
"139",1000,10,1,0.00824838073232654
"140",1000,10,1,0.00833844378634247
"141",1000,10,1,0.00853418091560835
"142",1000,10,1,0.00859476227555254
"143",1000,10,1,0.00877577908481552
"144",1000,10,1,0.00895010330364772
"145",1000,10,1,0.00899559886999149
"146",1000,10,1,0.00908029762962207
"147",1000,10,1,0.00916484054341246
"148",1000,10,1,0.00925740591865112
"149",1000,10,1,0.00966000345145233
"150",1000,10,1,0.00969082661882242
"151",2000,10,1,0.00261932878580275
"152",2000,10,1,0.00262652156070851
"153",2000,10,1,0.0027393828874811
"154",2000,10,1,0.00302173971853084
"155",2000,10,1,0.00302348020566632
"156",2000,10,1,0.00303855996571899
"157",2000,10,1,0.00310735383076862
"158",2000,10,1,0.00324564082099677
"159",2000,10,1,0.00336553649534232
"160",2000,10,1,0.00345565836805202
"161",2000,10,1,0.00346411466629817
"162",2000,10,1,0.0034937994832124
"163",2000,10,1,0.00350069072508855
"164",2000,10,1,0.00365537770859981
"165",2000,10,1,0.00365716979965471
"166",2000,10,1,0.00368053266347022
"167",2000,10,1,0.00368779653764148
"168",2000,10,1,0.00371923988012937
"169",2000,10,1,0.00376179731783251
"170",2000,10,1,0.00381925228972508
"171",2000,10,1,0.00383781641725598
"172",2000,10,1,0.0039113473558194
"173",2000,10,1,0.00394809047072233
"174",2000,10,1,0.00405227197534945
"175",2000,10,1,0.00406157247959261
"176",2000,10,1,0.00407773644141045
"177",2000,10,1,0.00412578835654283
"178",2000,10,1,0.00416981731289344
"179",2000,10,1,0.00426843604694293
"180",2000,10,1,0.00442597129101704
"181",4000,10,1,0.00115672373422795
"182",4000,10,1,0.00123627886102998
"183",4000,10,1,0.00135149273292147
"184",4000,10,1,0.00135171384879043
"185",4000,10,1,0.00137966466069802
"186",4000,10,1,0.00138803459667151
"187",4000,10,1,0.00145052321568144
"188",4000,10,1,0.00146473161185946
"189",4000,10,1,0.00149166574496981
"190",4000,10,1,0.00150122712020865
"191",4000,10,1,0.00153100402893944
"192",4000,10,1,0.00153384112447561
"193",4000,10,1,0.00154205778865663
"194",4000,10,1,0.0015439555693897
"195",4000,10,1,0.00155061679550481
"196",4000,10,1,0.00158345741320132
"197",4000,10,1,0.00161403834874702
"198",4000,10,1,0.00164873640460919
"199",4000,10,1,0.00165613219592904
"200",4000,10,1,0.00165808137345026
"201",4000,10,1,0.00171402340800236
"202",4000,10,1,0.00174490238865682
"203",4000,10,1,0.00174739117890057
"204",4000,10,1,0.00177620555972433
"205",4000,10,1,0.00177696085254777
"206",4000,10,1,0.00179846501729133
"207",4000,10,1,0.00180469742524466
"208",4000,10,1,0.00184004901926564
"209",4000,10,1,0.00187142088363901
"210",4000,10,1,0.00193203501469313
