n,p,r,d,val
50,10,100,5,0.238371333
50,10,100,6,0.246247563
50,10,100,7,0.239250762
50,10,100,8,0.237280732
50,10,100,9,0.224411736
50,10,100,10,0.207688829
50,10,100,11,0.234432319
50,10,100,12,0.238488457
50,10,100,13,0.16057249
50,10,100,14,0.232863547
50,10,100,15,0.202552101
50,10,100,16,0.207344647
50,10,100,17,0.199306189
50,10,100,18,0.179371304
50,10,100,19,0.255359075
50,10,100,20,0.231801187
50,10,100,21,0.212198923
50,10,100,22,0.236258774
50,10,100,23,0.148036982
50,10,100,24,0.206648913
50,10,100,25,0.219797361
50,10,500,1,0.19872144
50,10,500,2,0.171893626
50,10,500,3,0.161800201
50,10,500,4,0.210425969
50,10,500,5,0.171515384
50,10,500,6,0.195282574
50,10,500,7,0.206279475
50,10,500,8,0.186055421
50,10,500,9,0.162001374
50,10,500,10,0.16404182
50,10,500,11,0.184232309
50,10,500,12,0.200391637
50,10,500,13,0.162573146
50,10,500,14,0.181274863
50,10,500,15,0.191617475
50,10,500,16,0.181951012
50,10,500,17,0.200378051
50,10,500,18,0.201050857
50,10,500,19,0.130974251
50,10,500,20,0.189477415
50,10,500,21,0.200595525
50,10,500,22,0.179511382
50,10,500,23,0.187281863
50,10,500,24,0.163845628
50,10,500,25,0.163034782
50,20,1,1,1.202910132
50,20,1,2,1.239794562
50,20,1,3,1.191796574
50,20,1,4,1.302310607
50,20,1,5,1.670379632
50,20,1,6,1.66832006
50,20,1,7,1.741664703
50,20,1,8,1.52059
50,20,1,9,1.157243448
50,20,1,10,1.183622679
50,20,1,11,1.254665106
50,20,1,12,1.21099781
50,20,1,13,1.38396737
50,20,1,14,1.136783105
50,20,1,15,1.124292847
50,20,1,16,1.231169113
50,20,1,17,1.183448697
50,20,1,18,1.15043726
50,20,1,19,1.238538228
50,20,1,20,1.583063128
50,20,1,21,1.37376053
50,20,1,22,1.289291012
50,20,1,23,1.378367593
50,20,1,24,1.281804121
50,20,1,25,1.130935184
50,20,5,1,1.108411612
50,20,5,2,0.956755386
50,20,5,3,1.064571096
50,20,5,4,1.130594985
50,20,5,5,0.983548637
50,20,5,6,1.012042607
50,20,5,7,1.082061542
50,20,5,8,1.129072781
50,20,5,9,1.020325152
50,20,5,10,1.080868508
50,20,5,11,1.009854785
50,20,5,12,1.151617412
50,20,5,13,1.084661774
50,20,5,14,1.047850458
50,20,5,15,1.003096495
50,20,5,16,1.086923724
50,20,5,17,1.102663247
50,20,5,18,1.190293148
50,20,5,19,0.838930137
50,20,5,20,1.108815929
50,20,5,21,1.074857873
50,20,5,22,1.076556783
50,20,5,23,1.103446677
50,20,5,24,0.966146601
50,20,5,25,1.049162721
50,20,30,1,1.06867201
50,20,30,2,1.001926407
50,20,30,3,0.958313564
50,20,30,4,0.984543821
50,20,30,5,0.973678415
50,20,30,6,0.92412034
50,20,30,7,0.933465181
50,20,30,8,1.002146128
50,20,30,9,1.006421823
50,20,30,10,0.955260946
50,20,30,11,0.788670282
50,20,30,12,1.004640119
50,20,30,13,0.760894573
50,20,30,14,0.846761541
50,20,30,15,0.875200426
50,20,30,16,0.936865113
50,20,30,17,0.867199061
50,20,30,18,0.929933079
50,20,30,19,0.982478249
50,20,30,20,0.9271748
50,20,30,21,1.027057842
50,20,30,22,0.801802079
50,20,30,23,0.917440588
50,20,30,24,0.893731927
50,20,30,25,0.72667006
50,20,100,1,0.906925216
50,20,100,2,0.917868216
50,20,100,3,0.944375833
50,20,100,4,0.940074772
50,20,100,5,0.959091638
50,20,100,6,0.809367439
50,20,100,7,0.75371614
50,20,100,8,0.847127021
50,20,100,9,0.858774137
50,20,100,10,0.91485658
50,20,100,11,0.925185381
50,20,100,12,0.926445727
50,20,100,13,0.733138124
50,20,100,14,0.926002608
50,20,100,15,0.991381093
50,20,100,16,0.885633705
50,20,100,17,0.898465872
50,20,100,18,0.832348091
50,20,100,19,0.957157811
50,20,100,20,0.777645636
50,20,100,21,0.859329298
50,20,100,22,0.90460136
50,20,100,23,0.772151893
50,20,100,24,0.95499288
50,20,100,25,0.880173061
50,20,500,1,0.751042663
50,20,500,2,0.8254564
50,20,500,3,0.796584022
50,20,500,4,0.8097853
50,20,500,5,0.861093083
50,20,500,6,0.788742079
50,20,500,7,0.765244905
50,20,500,8,0.714456998
50,20,500,9,0.832222331
50,20,500,10,0.788694119
50,20,500,11,0.799772652
50,20,500,12,0.804499223
50,20,500,13,0.764972923
50,20,500,14,0.79550554
50,20,500,15,0.820796344
50,20,500,16,0.813056861
50,20,500,17,0.748516709
50,20,500,18,0.808153678
50,20,500,19,0.778537714
50,20,500,20,0.79865028
50,20,500,21,0.806663732
50,20,500,22,0.786944483
50,20,500,23,0.773533503
50,20,500,24,0.84621325
50,20,500,25,0.799390838
50,30,1,1,2.471387926
50,30,1,2,2.003926732
50,30,1,3,2.297823824
50,30,1,4,2.972225715
50,30,1,5,1.907924349
50,30,1,6,2.403479857
50,30,1,7,2.751827068
50,30,1,8,2.234549107
50,30,1,9,2.848239068
50,30,1,10,2.435124619
50,30,1,11,2.522006695
50,30,1,12,2.31570411
50,30,1,13,2.407553462
50,30,1,14,2.249506833
50,30,1,15,2.346684637
50,30,1,16,2.465308225
50,30,1,17,2.355638903
50,30,1,18,2.247401549
50,30,1,19,2.595521144
50,30,1,20,2.350036191
50,30,1,21,2.326471417
50,30,1,22,2.639461989
50,30,1,23,2.425988903
50,30,1,24,2.278036338
50,30,1,25,2.452249337
50,30,5,1,2.073396481
50,30,5,2,2.132887427
50,30,5,3,2.37455631
50,30,5,4,1.735341229
50,30,5,5,2.161736744
50,30,5,6,2.168683307
50,30,5,7,1.902609152
50,30,5,8,2.253093661
50,30,5,9,2.098746696
50,30,5,10,2.252134592
50,30,5,11,2.102725072
50,30,5,12,2.116292817
50,30,5,13,2.135546789
50,30,5,14,2.321983182
50,30,5,15,2.188841191
50,30,5,16,2.123271923
50,30,5,17,2.104530622
50,30,5,18,1.882404166
50,30,5,19,2.344975536
50,30,5,20,2.525638092
50,30,5,21,2.192180733
50,30,5,22,2.174896299
50,30,5,23,2.398016037
50,30,5,24,2.116407122
50,30,5,25,2.000625947
50,30,30,1,1.940569973
50,30,30,2,2.003026091
50,30,30,3,2.023430812
50,30,30,4,2.070132943
50,30,30,5,1.730093035
50,30,30,6,1.959654397
50,30,30,7,1.983040121
50,30,30,8,1.919602658
50,30,30,9,1.761966895
50,30,30,10,1.800043132
50,30,30,11,1.914068213
50,30,30,12,2.110585024
50,30,30,13,2.081470659
50,30,30,14,2.054420055
50,30,30,15,1.702942173
50,30,30,16,1.836982513
50,30,30,17,2.085117855
50,30,30,18,2.063076784
50,30,30,19,2.155435313
50,30,30,20,2.113147043
50,30,30,21,1.926174785
50,30,30,22,1.905370607
50,30,30,23,2.049415755
50,30,30,24,1.964138653
50,30,30,25,1.965853028
50,30,100,1,1.811531799
50,30,100,2,1.84583324
50,30,100,3,1.848050511
50,30,100,4,1.815432465
50,30,100,5,1.843657651
50,30,100,6,1.536223662
50,30,100,7,1.724575352
50,30,100,8,1.814006283
50,30,100,9,1.772408543
50,30,100,10,1.849371832
50,30,100,11,1.713398391
50,30,100,12,1.608647809
50,30,100,13,1.969210407
50,30,100,14,1.766430479
50,30,100,15,1.902461242
50,30,100,16,1.912358326
50,30,100,17,1.837239896
50,30,100,18,1.838702129
50,30,100,19,1.695335599
50,30,100,20,1.852157007
50,30,100,21,1.724408015
50,30,100,22,1.836484996
50,30,100,23,1.900181142
50,30,100,24,1.931454754
50,30,100,25,1.859255995
50,30,500,1,1.60728583
50,30,500,2,1.762177831
50,30,500,3,1.681021359
50,30,500,4,1.756291659
50,30,500,5,1.7887311
